Index,Combined,Private/Public,
1,Harrison NY,Public,
2,Strake Jesuit TX,Private,
3,Legacy Christian TX,Private,
4,Harker CA,Private,
5,Loyola CA,Private,
6,Immaculate Heart CA,Private,
7,Success Academy HS - Liberal Arts NY,Public,Charter
8,Appleton North WI,Public,
9,Dulles TX,Public,
10,Peninsula CA,Public,
11,Evergreen Valley CA,Public,
12,Greenhill TX,Private,
13,Saratoga CA,Public,
14,Northview GA,Public,
15,Lexington MA,Public,
16,Mission San Jose CA,Public,
17,Lake Highland Prep FL,Private,
18,Bronx Science NY,Public,Magnet
19,Dutchtown LA,Public,
20,Southlake Carroll TX,Public,
21,Strath Haven PA,Public,
22,Dougherty Valley CA,Public,
23,Rosemount MN,Public,
24,West Des Moines Valley IA,Public,
25,Plano Independent TX,Public,
26,Thomas Horace Rogers TX,Public,Alternative
27,Eagan MN,Public,
28,Houston Memorial TX,Public,
29,Lexington MA,Public,
30,Marlborough CA,Private,
31,Murphy Independent TX,Public,
32,Dowling Catholic IA,Private,
33,L C Anderson TX,Public,
34,Needham MA,Public,
35,Scarsdale NY,Public,
36,Quarry Lane CA,Private,
37,Northland Christian TX,Private,
38,Oxford CA,Public,
39,Carnegie Vanguard TX,Public,Magnet
40,Iowa City West IA,Public,
41,Milton Acad MA,Private,
42,Millard North NE,Public,
43,Northern Valley HS Independent NJ,Public,
44,Edina MN,Public,
45,Eastside Independent WA,Private,
46,Westlake TX,Public,Charter
47,Durham NC,Private,
48,Acton-Boxborough MA,Public,
49,North Mecklenburg NC,Public,
50,Byram Hills NY,Public,
51,Lynbrook CA,Public,
52,Flintridge Prep CA,Private,
53,Portola CA,Public,
54,McNeil TX,Public,
55,Bergen County Academies NJ,Public,Magnet
56,Hopkins MN,Public,
57,Coppell TX,Public,
58,Lincoln East NE,Public,
59,West HS SLC UT,Public,
60,Stanford Online CA,Private,Online
61,Carmel Valley Independent CA,Public,
62,Brentwood CA,Private,
63,STA/Vis MN,Private,
64,St Croix Prep MN,Public,Charter
65,Elkins TX,Public,
66,Riverside SC,Public,
67,Hamilton High Independent AZ,Public,
68,Bettendorf IA,Public,
69,St Croix Prep MN,Public,Charter
70,Strake Jesuit TX,Private,
71,Eden Prairie MN,Public,
72,New Trier IL,Public,
73,Apple Valley MN,Public,
74,Troy Independent CA,Public,
75,Chanhassen MN,Public,
76,St Michael Albertville MN,Public,
77,BASIS Independent Silicon Valley Independent CA,Private,
78,Olympia FL,Public,
79,Eagan MN,Public,
80,NSU FL,Private,
81,Bellarmine CA,Private,
82,Harvard-Westlake CA,Private,
83,Rancho Bernardo CA,Public,
84,Diamond Bar CA,Public,
85,Independent Ayala CA,Public,
86,Sage CA,Private,
87,Presentation CA,Private,
88,Sage Independent CA,Private,
89,Advanced Technologies NV,Public ,Magnet
90,Yerba Buena CA,Public,
91,Harker CA,Private,
92,Honor CA,Private*,Debate Academy
93,Westwood TX,Public,
94,Orange Lutheran CA,Private,
95,Los Altos CA,Public,
96,Nashua HS South NH,Public,
97,Interlake WA,Public,
98,American CA,Public,
99,BASIS Phoenix AZ,Public,Charter
100,Monta Vista CA,Public,
101,Sequoia CA,Public,
102,Fairview CO,Public,
103,Mount Vernon WA,Public,
104,Crystal Springs Uplands CA,Private,
105,Kennedy CA,Public,
106,Nova 42 CA,Private*,Debate Academy
107,Eden Prairie MN,Public,
108,Bishop's CA,Private,
109,Cupertino CA,Public,
110,ModernBrain CA,Private*,Debate Academy
111,Mountain House CA,Public,
112,Brophy AZ,Private,
113,Albuquerque NM,Public,
114,Cerritos CA,Public,
115,Taft CA,Public,
116,Valley Christian Independent CA,Private,
117,Archbishop Mitty CA,Private,
118,Proof CA,Private,
119,Prospect CA,Public,
120,Academy of Higher Learning CA,Public,Charter
121,Unionville PA,Public,
122,Amador Valley CA,Public,
123,Branham CA,Public,
124,Irvington CA,Public,
125,Dougherty Valley CA,Public,
126,La Costa Canyon CA,Public,
